﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Naturtype 3260 tilstede;Strækning nummer;Transekt-start, GeoZone;Transekt-start, x-koordinat;Transekt-start, y-koordinat;Transekt-slut, GeoZone;Transekt-slut, x-koordinat;Transekt-slut, y-koordinat;Transektundersøgelse;Kvadrat nummer;Dybde (cm);Arts tom;Taxonkode;Artkode;Art latin;Art;Dækningsgrad;Kvalitetsmærke,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;37;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;5 - 76-100%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;6;42;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;7;;Nej;2503500060030;2386;Nuphar lutea;Gul åkande;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;18;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;11;;Nej;2503500060030;2386;Nuphar lutea;Gul åkande;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;10;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;18;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;6;35;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;22;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;3 - 26-50%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;47;;Nej;2507600480240;2562;Rorippa amphibia;Vandpeberrod;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;6;5;;Nej;2900100030030;6419;Butomus umbellatus;Brudelys;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;33;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;3 - 26-50%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;46;;Nej;2900500030150;6445;Potamogeton lucens;Glinsende vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;4;;Nej;2900100030030;6419;Butomus umbellatus;Brudelys;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;36;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;12;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;8;;Nej;1510010200500;73;Cladophora glomerata;Dusk-vandhår;3 - 26-50%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;3;;Nej;2320650030150;1096;Equisetum fluviatile;Dynd-padderok;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;43;;Nej;2900500040230;6489;Potamogeton crispus x praelongus;Kruset x langbladet vandaks;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;8;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;49;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;3 - 26-50%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;15;;Nej;2705550030060;4078;Myriophyllum spicatum;Aks-tusindblad;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;23;;Ja;;;;;;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;40;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;5;;Nej;300000900000;8;Trådalger;Trådalger;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;3;;Nej;2907500030090;7409;Lemna minor;Liden andemad;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;43;;Nej;2900200090030;6427;Elodea canadensis;Vandpest;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;50;;Nej;2901000030030;6549;Acorus calamus;Kalmus;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;37;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;3;;Nej;2320650030150;1096;Equisetum fluviatile;Dynd-padderok;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;6;20;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;13;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;4 - 51-75%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;5;40;;Ja;;;;;;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;3;1;;Nej;2904860740030;7257;Phalaris arundinacea;Rørgræs;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;2;48;;Nej;1510010200500;73;Cladophora glomerata;Dusk-vandhår;1 - 1-5%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;48;;Nej;1510010200500;73;Cladophora glomerata;Dusk-vandhår;2 - 6-25%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;1;16;;Nej;2900500030630;6466;Potamogeton perfoliatus;Hjertebladet vandaks;4 - 51-75%;1,
Station;21001664;GUDENÅ, ÅBRO;32;553359;6249451;Randers;Region Midtjylland;Vandløb;Gudenåen;09-09-2025;1;Vegetation, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d648f8da-01ec-446c-bf9f-2a8f6fa33c57;;1;32;553489,5909050977;6249356,337617217;32;553409,6376145564;6249418,537640412;4;48;;Nej;2907650030090;7419;Sparganium emersum;Enkelt pindsvineknop;1 - 1-5%;1,
